,Spot Checks,On Duty,Patrol,Standby,Traffic Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1: 20:00~22:00,Number of Polices：1 ['Police Office4'],"Number of Polices：2 ['Police Office12', 'Police Office21']","Number of Polices：4 ['Police Office11', 'Police Office14', 'Police Office18', 'Police Office22']","Number of Polices：7 ['Police Office3', 'Police Office5', 'Police Office6', 'Police Office9', 'Police Office13', 'Police Office19', 'Police Office25']","Number of Polices：5 ['Police Office2', 'Police Office7', 'Police Office8', 'Police Office10', 'Police Office16']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D1: 22:00~24:00,Number of Polices：1 ['Police Office18'],"Number of Polices：5 ['Police Office6', 'Police Office17', 'Police Office21', 'Police Office23', 'Police Office24']","Number of Polices：2 ['Police Office10', 'Police Office19']","Number of Polices：7 ['Police Office4', 'Police Office7', 'Police Office8', 'Police Office11', 'Police Office16', 'Police Office20', 'Police Office22']","Number of Polices：2 ['Police Office3', 'Police Office25']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D2: 00:00~02:00,Number of Polices：1 ['Police Office1'],"Number of Polices：5 ['Police Office2', 'Police Office12', 'Police Office26', 'Police Office32', 'Police Office35']","Number of Polices：2 ['Police Office30', 'Police Office33']","Number of Polices：3 ['Police Office5', 'Police Office14', 'Police Office29']","Number of Polices：3 ['Police Office13', 'Police Office15', 'Police Office28']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D2: 02:00~04:00,Number of Polices：1 ['Police Office7'],"Number of Polices：7 ['Police Office1', 'Police Office3', 'Police Office11', 'Police Office14', 'Police Office26', 'Police Office29', 'Police Office30']","Number of Polices：4 ['Police Office9', 'Police Office13', 'Police Office28', 'Police Office35']","Number of Polices：9 ['Police Office2', 'Police Office5', 'Police Office6', 'Police Office8', 'Police Office10', 'Police Office12', 'Police Office15', 'Police Office16', 'Police Office32']","Number of Polices：2 ['Police Office4', 'Police Office33']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D2: 04:00~06:00,Number of Polices：1 ['Police Office16'],"Number of Polices：2 ['Police Office4', 'Police Office7']","Number of Polices：2 ['Police Office3', 'Police Office6']","Number of Polices：2 ['Police Office10', 'Police Office11']","Number of Polices：2 ['Police Office8', 'Police Office9']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D2: 06:00~08:00,Number of Polices：1 ['Police Office12'],"Number of Polices：2 ['Police Office30', 'Police Office32']","Number of Polices：2 ['Police Office1', 'Police Office5']","Number of Polices：2 ['Police Office2', 'Police Office13']","Number of Polices：2 ['Police Office14', 'Police Office35']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D2: 08:00~10:00,Number of Polices：1 ['Police Office11'],"Number of Polices：2 ['Police Office7', 'Police Office23']","Number of Polices：4 ['Police Office2', 'Police Office9', 'Police Office13', 'Police Office21']","Number of Polices：2 ['Police Office6', 'Police Office8']","Number of Polices：4 ['Police Office1', 'Police Office30', 'Police Office32', 'Police Office35']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D2: 10:00~12:00,Number of Polices：1 ['Police Office6'],"Number of Polices：2 ['Police Office9', 'Police Office12']","Number of Polices：2 ['Police Office11', 'Police Office21']","Number of Polices：2 ['Police Office7', 'Police Office23']","Number of Polices：2 ['Police Office5', 'Police Office8']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D2: 12:00~14:00,Number of Polices：1 ['Police Office29'],"Number of Polices：2 ['Police Office5', 'Police Office13']","Number of Polices：2 ['Police Office12', 'Police Office15']","Number of Polices：2 ['Police Office1', 'Police Office26']","Number of Polices：2 ['Police Office28', 'Police Office33']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D2: 14:00~16:00,Number of Polices：1 ['Police Office3'],"Number of Polices：2 ['Police Office23', 'Police Office29']","Number of Polices：2 ['Police Office1', 'Police Office10']","Number of Polices：2 ['Police Office4', 'Police Office26']","Number of Polices：4 ['Police Office13', 'Police Office15', 'Police Office16', 'Police Office21']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D2: 16:00~18:00,Number of Polices：1 ['Police Office3'],"Number of Polices：2 ['Police Office21', 'Police Office28']","Number of Polices：2 ['Police Office10', 'Police Office16']","Number of Polices：2 ['Police Office14', 'Police Office33']","Number of Polices：2 ['Police Office4', 'Police Office23']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D2: 18:00~20:00,Number of Polices：1 ['Police Office29'],"Number of Polices：2 ['Police Office14', 'Police Office33']","Number of Polices：2 ['Police Office26', 'Police Office28']","Number of Polices：2 ['Police Office15', 'Police Office35']","Number of Polices：3 ['Police Office2', 'Police Office30', 'Police Office32']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D2: 20:00~22:00,Number of Polices：1 ['Police Office6'],"Number of Polices：5 ['Police Office4', 'Police Office8', 'Police Office9', 'Police Office10', 'Police Office15']","Number of Polices：6 ['Police Office2', 'Police Office3', 'Police Office7', 'Police Office11', 'Police Office30', 'Police Office35']","Number of Polices：3 ['Police Office16', 'Police Office29', 'Police Office32']","Number of Polices：3 ['Police Office21', 'Police Office23', 'Police Office26']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D2: 22:00~24:00,Number of Polices：1 ['Police Office14'],"Number of Polices：2 ['Police Office8', 'Police Office10']","Number of Polices：3 ['Police Office4', 'Police Office6', 'Police Office16']","Number of Polices：8 ['Police Office3', 'Police Office9', 'Police Office11', 'Police Office12', 'Police Office21', 'Police Office23', 'Police Office28', 'Police Office33']","Number of Polices：2 ['Police Office5', 'Police Office7']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D3: 00:00~02:00,Number of Polices：1 ['Police Office25'],"Number of Polices：3 ['Police Office13', 'Police Office24', 'Police Office34']","Number of Polices：4 ['Police Office2', 'Police Office15', 'Police Office18', 'Police Office30']","Number of Polices：3 ['Police Office22', 'Police Office31', 'Police Office32']","Number of Polices：3 ['Police Office27', 'Police Office29', 'Police Office35']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D3: 02:00~04:00,Number of Polices：1 ['Police Office13'],"Number of Polices：6 ['Police Office3', 'Police Office5', 'Police Office15', 'Police Office25', 'Police Office31', 'Police Office35']","Number of Polices：5 ['Police Office4', 'Police Office18', 'Police Office22', 'Police Office24', 'Police Office29']","Number of Polices：9 ['Police Office1', 'Police Office2', 'Police Office10', 'Police Office14', 'Police Office21', 'Police Office27', 'Police Office32', 'Police Office33', 'Police Office34']","Number of Polices：2 ['Police Office26', 'Police Office30']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D3: 04:00~06:00,Number of Polices：1 ['Police Office3'],"Number of Polices：2 ['Police Office1', 'Police Office14']","Number of Polices：2 ['Police Office5', 'Police Office33']","Number of Polices：2 ['Police Office4', 'Police Office10']","Number of Polices：2 ['Police Office21', 'Police Office26']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D3: 06:00~08:00,Number of Polices：1 ['Police Office25'],"Number of Polices：2 ['Police Office18', 'Police Office30']","Number of Polices：2 ['Police Office27', 'Police Office31']","Number of Polices：2 ['Police Office2', 'Police Office13']","Number of Polices：2 ['Police Office29', 'Police Office34']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D3: 08:00~10:00,Number of Polices：1 ['Police Office18'],"Number of Polices：4 ['Police Office12', 'Police Office16', 'Police Office21', 'Police Office27']","Number of Polices：3 ['Police Office13', 'Police Office14', 'Police Office34']","Number of Polices：4 ['Police Office1', 'Police Office4', 'Police Office26', 'Police Office29']","Number of Polices：2 ['Police Office2', 'Police Office3']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D3: 10:00~12:00,Number of Polices：1 ['Police Office4'],"Number of Polices：2 ['Police Office16', 'Police Office26']","Number of Polices：2 ['Police Office12', 'Police Office21']","Number of Polices：2 ['Police Office3', 'Police Office25']","Number of Polices：2 ['Police Office1', 'Police Office14']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D3: 12:00~14:00,Number of Polices：1 ['Police Office35'],"Number of Polices：2 ['Police Office25', 'Police Office27']","Number of Polices：2 ['Police Office32', 'Police Office34']","Number of Polices：2 ['Police Office18', 'Police Office24']","Number of Polices：3 ['Police Office13', 'Police Office15', 'Police Office22']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D3: 14:00~16:00,Number of Polices：1 ['Police Office33'],"Number of Polices：2 ['Police Office22', 'Police Office32']","Number of Polices：2 ['Police Office12', 'Police Office13']","Number of Polices：3 ['Police Office5', 'Police Office27', 'Police Office34']","Number of Polices：4 ['Police Office10', 'Police Office15', 'Police Office16', 'Police Office18']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D3: 16:00~18:00,Number of Polices：1 ['Police Office24'],"Number of Polices：2 ['Police Office5', 'Police Office10']","Number of Polices：2 ['Police Office33', 'Police Office35']","Number of Polices：2 ['Police Office30', 'Police Office31']","Number of Polices：2 ['Police Office12', 'Police Office16']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D3: 18:00~20:00,Number of Polices：1 ['Police Office24'],"Number of Polices：2 ['Police Office29', 'Police Office32']","Number of Polices：2 ['Police Office2', 'Police Office30']","Number of Polices：2 ['Police Office15', 'Police Office35']","Number of Polices：2 ['Police Office22', 'Police Office31']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D3: 20:00~22:00,Number of Polices：1 ['Police Office5'],"Number of Polices：3 ['Police Office1', 'Police Office26', 'Police Office33']","Number of Polices：5 ['Police Office10', 'Police Office16', 'Police Office21', 'Police Office22', 'Police Office32']","Number of Polices：4 ['Police Office3', 'Police Office12', 'Police Office14', 'Police Office15']","Number of Polices：2 ['Police Office2', 'Police Office4']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D3: 22:00~24:00,Number of Polices：1 ['Police Office14'],"Number of Polices：4 ['Police Office3', 'Police Office21', 'Police Office24', 'Police Office29']","Number of Polices：6 ['Police Office1', 'Police Office4', 'Police Office16', 'Police Office25', 'Police Office26', 'Police Office31']","Number of Polices：4 ['Police Office5', 'Police Office12', 'Police Office33', 'Police Office35']","Number of Polices：2 ['Police Office10', 'Police Office30']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D4: 00:00~02:00,Number of Polices：1 ['Police Office22'],"Number of Polices：2 ['Police Office15', 'Police Office27']","Number of Polices：3 ['Police Office8', 'Police Office19', 'Police Office28']","Number of Polices：4 ['Police Office6', 'Police Office13', 'Police Office17', 'Police Office20']","Number of Polices：5 ['Police Office7', 'Police Office11', 'Police Office18', 'Police Office32', 'Police Office34']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D4: 02:00~04:00,Number of Polices：1 ['Police Office31'],"Number of Polices：13 ['Police Office2', 'Police Office7', 'Police Office10', 'Police Office15', 'Police Office17', 'Police Office18', 'Police Office20', 'Police Office21', 'Police Office22', 'Police Office23', 'Police Office24', 'Police Office27', 'Police Office32']","Number of Polices：4 ['Police Office3', 'Police Office19', 'Police Office26', 'Police Office28']","Number of Polices：4 ['Police Office8', 'Police Office11', 'Police Office13', 'Police Office34']","Number of Polices：2 ['Police Office6', 'Police Office30']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D4: 04:00~06:00,Number of Polices：1 ['Police Office23'],"Number of Polices：2 ['Police Office3', 'Police Office30']","Number of Polices：2 ['Police Office24', 'Police Office26']","Number of Polices：2 ['Police Office10', 'Police Office31']","Number of Polices：2 ['Police Office2', 'Police Office21']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D4: 06:00~08:00,Number of Polices：1 ['Police Office15'],"Number of Polices：2 ['Police Office6', 'Police Office34']","Number of Polices：2 ['Police Office11', 'Police Office22']","Number of Polices：2 ['Police Office18', 'Police Office19']","Number of Polices：2 ['Police Office17', 'Police Office27']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D4: 08:00~10:00,Number of Polices：1 ['Police Office24'],"Number of Polices：2 ['Police Office3', 'Police Office26']","Number of Polices：4 ['Police Office15', 'Police Office17', 'Police Office18', 'Police Office25']","Number of Polices：2 ['Police Office27', 'Police Office30']","Number of Polices：2 ['Police Office2', 'Police Office21']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D4: 10:00~12:00,Number of Polices：1 ['Police Office26'],"Number of Polices：2 ['Police Office6', 'Police Office21']","Number of Polices：2 ['Police Office3', 'Police Office25']","Number of Polices：2 ['Police Office2', 'Police Office11']","Number of Polices：2 ['Police Office24', 'Police Office30']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D4: 12:00~14:00,Number of Polices：1 ['Police Office8'],"Number of Polices：2 ['Police Office17', 'Police Office18']","Number of Polices：2 ['Police Office6', 'Police Office7']","Number of Polices：2 ['Police Office28', 'Police Office32']","Number of Polices：2 ['Police Office13', 'Police Office20']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D4: 14:00~16:00,Number of Polices：1 ['Police Office25'],"Number of Polices：2 ['Police Office8', 'Police Office31']","Number of Polices：2 ['Police Office13', 'Police Office23']","Number of Polices：2 ['Police Office10', 'Police Office17']","Number of Polices：3 ['Police Office18', 'Police Office20', 'Police Office28']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D4: 16:00~18:00,Number of Polices：1 ['Police Office22'],"Number of Polices：2 ['Police Office19', 'Police Office34']","Number of Polices：2 ['Police Office7', 'Police Office23']","Number of Polices：2 ['Police Office25', 'Police Office32']","Number of Polices：2 ['Police Office10', 'Police Office31']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D4: 18:00~20:00,Number of Polices：1 ['Police Office8'],"Number of Polices：2 ['Police Office19', 'Police Office22']","Number of Polices：2 ['Police Office20', 'Police Office27']","Number of Polices：2 ['Police Office7', 'Police Office28']","Number of Polices：3 ['Police Office13', 'Police Office32', 'Police Office34']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D4: 20:00~22:00,Number of Polices：1 ['Police Office23'],"Number of Polices：6 ['Police Office2', 'Police Office11', 'Police Office13', 'Police Office20', 'Police Office26', 'Police Office31']","Number of Polices：3 ['Police Office10', 'Police Office15', 'Police Office21']","Number of Polices：4 ['Police Office8', 'Police Office24', 'Police Office25', 'Police Office30']","Number of Polices：2 ['Police Office3', 'Police Office27']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D4: 22:00~24:00,Number of Polices：1 ['Police Office26'],"Number of Polices：3 ['Police Office23', 'Police Office25', 'Police Office32']","Number of Polices：3 ['Police Office10', 'Police Office30', 'Police Office34']","Number of Polices：7 ['Police Office2', 'Police Office15', 'Police Office19', 'Police Office21', 'Police Office22', 'Police Office24', 'Police Office31']","Number of Polices：5 ['Police Office3', 'Police Office6', 'Police Office7', 'Police Office11', 'Police Office28']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D5: 00:00~02:00,Number of Polices：1 ['Police Office8'],"Number of Polices：4 ['Police Office1', 'Police Office13', 'Police Office27', 'Police Office29']","Number of Polices：2 ['Police Office9', 'Police Office18']","Number of Polices：5 ['Police Office5', 'Police Office16', 'Police Office17', 'Police Office20', 'Police Office35']","Number of Polices：2 ['Police Office14', 'Police Office33']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D5: 02:00~04:00,Number of Polices：1 ['Police Office34'],"Number of Polices：9 ['Police Office1', 'Police Office9', 'Police Office12', 'Police Office16', 'Police Office18', 'Police Office24', 'Police Office27', 'Police Office29', 'Police Office33']","Number of Polices：6 ['Police Office2', 'Police Office13', 'Police Office14', 'Police Office17', 'Police Office19', 'Police Office35']","Number of Polices：5 ['Police Office8', 'Police Office20', 'Police Office25', 'Police Office30', 'Police Office31']","Number of Polices：2 ['Police Office5', 'Police Office15']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D5: 04:00~06:00,Number of Polices：1 ['Police Office2'],"Number of Polices：2 ['Police Office12', 'Police Office15']","Number of Polices：2 ['Police Office19', 'Police Office30']","Number of Polices：2 ['Police Office31', 'Police Office34']","Number of Polices：2 ['Police Office24', 'Police Office25']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D5: 06:00~08:00,Number of Polices：1 ['Police Office20'],"Number of Polices：2 ['Police Office5', 'Police Office17']","Number of Polices：2 ['Police Office8', 'Police Office14']","Number of Polices：2 ['Police Office18', 'Police Office33']","Number of Polices：2 ['Police Office27', 'Police Office35']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D5: 08:00~10:00,Number of Polices：1 ['Police Office19'],"Number of Polices：3 ['Police Office2', 'Police Office5', 'Police Office20']","Number of Polices：5 ['Police Office15', 'Police Office17', 'Police Office25', 'Police Office31', 'Police Office33']","Number of Polices：3 ['Police Office24', 'Police Office27', 'Police Office28']","Number of Polices：2 ['Police Office22', 'Police Office35']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D5: 10:00~12:00,Number of Polices：1 ['Police Office8'],"Number of Polices：2 ['Police Office22', 'Police Office25']","Number of Polices：2 ['Police Office2', 'Police Office31']","Number of Polices：2 ['Police Office19', 'Police Office28']","Number of Polices：2 ['Police Office15', 'Police Office24']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D5: 12:00~14:00,Number of Polices：1 ['Police Office20'],"Number of Polices：2 ['Police Office8', 'Police Office17']","Number of Polices：2 ['Police Office16', 'Police Office29']","Number of Polices：3 ['Police Office5', 'Police Office13', 'Police Office33']","Number of Polices：2 ['Police Office1', 'Police Office9']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D5: 14:00~16:00,Number of Polices：1 ['Police Office28'],"Number of Polices：2 ['Police Office30', 'Police Office33']","Number of Polices：3 ['Police Office5', 'Police Office12', 'Police Office22']","Number of Polices：3 ['Police Office1', 'Police Office9', 'Police Office17']","Number of Polices：2 ['Police Office29', 'Police Office34']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D5: 16:00~18:00,Number of Polices：1 ['Police Office28'],"Number of Polices：2 ['Police Office13', 'Police Office34']","Number of Polices：2 ['Police Office16', 'Police Office30']","Number of Polices：2 ['Police Office12', 'Police Office14']","Number of Polices：2 ['Police Office18', 'Police Office22']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D5: 18:00~20:00,Number of Polices：1 ['Police Office13'],"Number of Polices：2 ['Police Office16', 'Police Office35']","Number of Polices：2 ['Police Office9', 'Police Office27']","Number of Polices：2 ['Police Office18', 'Police Office29']","Number of Polices：2 ['Police Office1', 'Police Office14']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D5: 20:00~22:00,Number of Polices：1 ['Police Office19'],"Number of Polices：3 ['Police Office2', 'Police Office22', 'Police Office31']","Number of Polices：2 ['Police Office28', 'Police Office34']","Number of Polices：8 ['Police Office1', 'Police Office15', 'Police Office24', 'Police Office25', 'Police Office27', 'Police Office29', 'Police Office30', 'Police Office35']","Number of Polices：2 ['Police Office9', 'Police Office12']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D5: 22:00~24:00,Number of Polices：1 ['Police Office2'],"Number of Polices：4 ['Police Office19', 'Police Office24', 'Police Office30', 'Police Office31']","Number of Polices：6 ['Police Office8', 'Police Office12', 'Police Office15', 'Police Office20', 'Police Office25', 'Police Office28']","Number of Polices：4 ['Police Office14', 'Police Office16', 'Police Office22', 'Police Office34']","Number of Polices：2 ['Police Office13', 'Police Office18']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D6: 00:00~02:00,Number of Polices：1 ['Police Office10'],"Number of Polices：3 ['Police Office7', 'Police Office27', 'Police Office33']","Number of Polices：4 ['Police Office1', 'Police Office23', 'Police Office32', 'Police Office35']","Number of Polices：3 ['Police Office6', 'Police Office9', 'Police Office26']","Number of Polices：3 ['Police Office4', 'Police Office17', 'Police Office29']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D6: 02:00~04:00,Number of Polices：1 ['Police Office7'],"Number of Polices：6 ['Police Office6', 'Police Office8', 'Police Office11', 'Police Office23', 'Police Office30', 'Police Office34']","Number of Polices：9 ['Police Office1', 'Police Office4', 'Police Office9', 'Police Office10', 'Police Office14', 'Police Office17', 'Police Office25', 'Police Office26', 'Police Office33']","Number of Polices：5 ['Police Office19', 'Police Office29', 'Police Office31', 'Police Office32', 'Police Office35']","Number of Polices：2 ['Police Office27', 'Police Office28']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D6: 04:00~06:00,Number of Polices：1 ['Police Office30'],"Number of Polices：2 ['Police Office11', 'Police Office14']","Number of Polices：2 ['Police Office8', 'Police Office28']","Number of Polices：2 ['Police Office19', 'Police Office25']","Number of Polices：2 ['Police Office31', 'Police Office34']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D6: 06:00~08:00,Number of Polices：1 ['Police Office33'],"Number of Polices：2 ['Police Office4', 'Police Office7']","Number of Polices：2 ['Police Office23', 'Police Office29']","Number of Polices：2 ['Police Office1', 'Police Office10']","Number of Polices：2 ['Police Office6', 'Police Office26']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D6: 08:00~10:00,Number of Polices：1 ['Police Office33'],"Number of Polices：2 ['Police Office23', 'Police Office31']","Number of Polices：2 ['Police Office11', 'Police Office29']","Number of Polices：2 ['Police Office4', 'Police Office30']","Number of Polices：5 ['Police Office12', 'Police Office14', 'Police Office20', 'Police Office26', 'Police Office28']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D6: 10:00~12:00,Number of Polices：1 ['Police Office11'],"Number of Polices：2 ['Police Office14', 'Police Office28']","Number of Polices：2 ['Police Office20', 'Police Office30']","Number of Polices：2 ['Police Office6', 'Police Office7']","Number of Polices：2 ['Police Office12', 'Police Office31']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D6: 12:00~14:00,Number of Polices：1 ['Police Office27'],"Number of Polices：2 ['Police Office6', 'Police Office33']","Number of Polices：2 ['Police Office17', 'Police Office32']","Number of Polices：2 ['Police Office7', 'Police Office35']","Number of Polices：2 ['Police Office9', 'Police Office23']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D6: 14:00~16:00,Number of Polices：1 ['Police Office8'],"Number of Polices：3 ['Police Office12', 'Police Office25', 'Police Office27']","Number of Polices：3 ['Police Office19', 'Police Office33', 'Police Office34']","Number of Polices：2 ['Police Office9', 'Police Office17']","Number of Polices：3 ['Police Office20', 'Police Office23', 'Police Office35']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D6: 16:00~18:00,Number of Polices：1 ['Police Office10'],"Number of Polices：2 ['Police Office19', 'Police Office25']","Number of Polices：2 ['Police Office12', 'Police Office20']","Number of Polices：2 ['Police Office8', 'Police Office34']","Number of Polices：2 ['Police Office1', 'Police Office32']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D6: 18:00~20:00,Number of Polices：1 ['Police Office32'],"Number of Polices：2 ['Police Office10', 'Police Office35']","Number of Polices：2 ['Police Office26', 'Police Office27']","Number of Polices：2 ['Police Office1', 'Police Office17']","Number of Polices：2 ['Police Office4', 'Police Office9']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D6: 20:00~22:00,Number of Polices：1 ['Police Office8'],"Number of Polices：2 ['Police Office28', 'Police Office34']","Number of Polices：5 ['Police Office9', 'Police Office11', 'Police Office12', 'Police Office19', 'Police Office31']","Number of Polices：6 ['Police Office4', 'Police Office14', 'Police Office20', 'Police Office26', 'Police Office27', 'Police Office30']","Number of Polices：4 ['Police Office17', 'Police Office25', 'Police Office29', 'Police Office35']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
